tedarikci id,kalite,hatali_urun,fiyat,hiz,guvenilir_hizmet,belge,talep,stok,gecmis_donem,kapasite,tavsiye
1,iyi,orta,iyi,cok iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
2,orta,iyi,iyi,cok iyi,cok iyi,cok iyi,iyi,iyi,iyi,iyi,Evet
3,orta,orta,orta,iyi,orta,orta,iyi,orta,kotu,iyi,Evet
4,iyi,iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,iyi,iyi,cok iyi,Evet
5,cok kotu,kotu,orta,orta,kotu,cok kotu,orta,iyi,kotu,orta,Hayir
6,orta,iyi,iyi,cok iyi,cok iyi,orta,iyi,iyi,iyi,cok iyi,Evet
7,cok iyi,orta,iyi,orta,orta,iyi,kotu,iyi,orta,iyi,Evet
8,iyi,iyi,iyi,cok iyi,cok iyi,orta,iyi,iyi,iyi,cok iyi,Evet
9,kotu,kotu,orta,iyi,iyi,kotu,orta,iyi,kotu,iyi,Hayir
10,iyi,cok iyi,iyi,cok iyi,cok iyi,orta,cok iyi,cok iyi,cok iyi,cok iyi,Evet
11,orta,iyi,iyi,iyi,orta,orta,iyi,iyi,iyi,iyi,Evet
12,kotu,kotu,kotu,cok kotu,cok kotu,kotu,kotu,orta,orta,kotu,Hayir
13,iyi,cok iyi,cok iyi,iyi,iyi,orta,iyi,cok iyi,iyi,iyi,Evet
14,cok iyi,cok iyi,orta,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,Evet
15,iyi,orta,orta,orta,iyi,iyi,iyi,iyi,iyi,cok iyi,Evet
16,iyi,orta,iyi,cok iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
17,iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,Evet
18,orta,iyi,iyi,iyi,iyi,iyi,iyi,cok iyi,iyi,iyi,Evet
19,kotu,cok kotu,iyi,iyi,orta,orta,iyi,orta,kotu,iyi,Hayir
20,iyi,iyi,iyi,iyi,cok iyi,orta,iyi,iyi,iyi,iyi,Evet
21,iyi,orta,iyi,iyi,iyi,iyi,cok iyi,cok iyi,iyi,iyi,Evet
22,iyi,orta,orta,iyi,orta,orta,orta,iyi,iyi,iyi,Evet
23,iyi,iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,iyi,iyi,Evet
24,orta,orta,kotu,iyi,orta,kotu,orta,orta,kotu,orta,Hayir
25,iyi,cok iyi,iyi,cok iyi,cok iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,Evet
26,iyi,iyi,orta,cok iyi,iyi,orta,iyi,iyi,iyi,iyi,Evet
27,iyi,iyi,orta,iyi,iyi,orta,iyi,iyi,iyi,iyi,Evet
28,kotu,orta,orta,orta,kotu,iyi,kotu,orta,kotu,orta,Hayir
29,orta,iyi,iyi,cok iyi,iyi,iyi,orta,orta,iyi,kotu,Evet
30,iyi,iyi,iyi,cok iyi,cok iyi,kotu,orta,cok iyi,iyi,iyi,Evet
31,kotu,iyi,iyi,orta,orta,orta,kotu,orta,kotu,kotu,Hayir
32,iyi,kotu,orta,cok iyi,cok iyi,cok iyi,orta,cok iyi,cok iyi,cok iyi,Evet
33,cok iyi,orta,kotu,iyi,iyi,iyi,orta,orta,iyi,orta,Evet
34,kotu,iyi,iyi,kotu,kotu,kotu,kotu,orta,kotu,orta,Hayir
35,iyi,orta,cok kotu,orta,orta,kotu,kotu,iyi,orta,orta,Hayir
36,orta,kotu,kotu,cok kotu,orta,iyi,orta,cok iyi,orta,iyi,Hayir
37,kotu,iyi,orta,kotu,kotu,kotu,orta,orta,kotu,orta,Hayir
38,orta,cok kotu,orta,kotu,iyi,iyi,orta,iyi,orta,kotu,Hayir
39,cok iyi,kotu,kotu,iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,orta,Evet
40,iyi,kotu,iyi,orta,orta,iyi,iyi,kotu,orta,orta,Evet
41,orta,kotu,kotu,kotu,kotu,orta,kotu,orta,kotu,orta,Hayir
42,orta,iyi,kotu,iyi,cok iyi,iyi,iyi,orta,iyi,orta,Evet
43,cok kotu,orta,iyi,kotu,kotu,cok kotu,kotu,kotu,kotu,orta,Hayir
44,cok iyi,kotu,orta,orta,orta,orta,iyi,orta,cok iyi,orta,Evet
45,orta,kotu,cok kotu,orta,iyi,cok kotu,orta,kotu,orta,orta,Evet
46,cok iyi,orta,iyi,orta,orta,cok kotu,orta,orta,iyi,orta,Evet
47,iyi,orta,cok kotu,kotu,iyi,cok kotu,iyi,cok iyi,orta,kotu,Hayir
48,cok kotu,kotu,kotu,orta,kotu,orta,orta,iyi,kotu,iyi,Hayir
49,iyi,orta,orta,iyi,cok iyi,iyi,orta,iyi,iyi,orta,Evet
50,iyi,orta,orta,iyi,iyi,kotu,orta,iyi,iyi,orta,Evet
51,kotu,kotu,kotu,kotu,orta,orta,kotu,kotu,cok kotu,kotu,Hayir
52,iyi,kotu,iyi,orta,iyi,cok iyi,orta,orta,iyi,orta,Evet
53,iyi,orta,iyi,kotu,cok iyi,cok iyi,orta,orta,orta,iyi,Evet
54,cok iyi,orta,iyi,kotu,kotu,iyi,kotu,iyi,kotu,orta,Hayir
55,iyi,orta,kotu,kotu,iyi,iyi,orta,iyi,orta,orta,Evet
56,cok iyi,kotu,cok kotu,cok iyi,cok iyi,cok iyi,orta,cok iyi,cok iyi,cok iyi,Evet
57,orta,iyi,iyi,kotu,iyi,iyi,kotu,kotu,iyi,orta,Evet
58,iyi,orta,kotu,iyi,iyi,iyi,kotu,orta,orta,kotu,Evet
59,iyi,orta,orta,iyi,iyi,iyi,orta,iyi,iyi,kotu,Evet
60,iyi,orta,iyi,kotu,iyi,iyi,kotu,orta,iyi,kotu,Evet
61,orta,iyi,iyi,kotu,orta,iyi,orta,iyi,orta,iyi,Evet
62,cok iyi,kotu,cok iyi,cok iyi,cok iyi,kotu,iyi,orta,cok iyi,iyi,Evet
63,iyi,orta,iyi,orta,cok iyi,iyi,orta,orta,iyi,cok iyi,Evet
64,cok iyi,cok kotu,orta,iyi,iyi,iyi,orta,orta,iyi,iyi,Evet
65,cok iyi,kotu,iyi,iyi,cok iyi,orta,orta,orta,iyi,iyi,Evet
66,orta,kotu,iyi,orta,cok iyi,orta,orta,kotu,orta,iyi,Evet
67,cok iyi,cok kotu,cok iyi,orta,iyi,orta,iyi,orta,orta,iyi,Evet
68,iyi,iyi,cok iyi,orta,iyi,cok iyi,iyi,orta,orta,cok iyi,Evet
69,cok iyi,orta,iyi,cok iyi,iyi,orta,cok iyi,orta,iyi,orta,Evet
70,cok iyi,orta,iyi,cok iyi,orta,iyi,cok iyi,orta,iyi,cok iyi,Evet
71,cok iyi,kotu,orta,iyi,cok iyi,iyi,orta,orta,cok iyi,iyi,Evet
72,orta,orta,iyi,iyi,cok iyi,cok iyi,orta,orta,iyi,iyi,Evet
73,cok iyi,cok iyi,orta,orta,iyi,iyi,orta,iyi,cok iyi,iyi,Evet
74,orta,orta,orta,orta,kotu,cok kotu,orta,iyi,orta,kotu,Hayir
